"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Koronavirus-tulos näytteestä","Epävarmuus-tekijät","Virtaama","Normalisoitu RNA-lukumäärä DNA-standardilla","Normalisoitu RNA-lukumäärä RNA-standardilla"
"2022-07-18","Luotsinmäki","Pori","112000","havaittu, yli määritysrajan","a b","26420","24479","10344"
"2022-07-18","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","55760","702743","28304"
"2022-07-18","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","66723","653089","26863"
"2022-07-18","Pått","Vaasa","69500","havaittu, yli määritysrajan","","14913","333667","14040"
"2022-07-11","Suomenoja","Espoo","390000","havaittu, yli määritysrajan","b","69189","459369","69780"
"2022-07-11","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","b","193899","548261","83476"
"2022-07-11","Paroinen","Hämeenlinna","66000","havaittu, yli määritysrajan","","12996","827579","131114"
"2022-07-11","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","b","18048","254934","39389"
"2022-07-11","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","29257","720449","114473"
"2022-07-11","Koko maa","Koko maa","","","","","532366","83144"
"2022-07-11","Mäkikylä","Kouvola","67107","havaittu, yli määritysrajan","b","16309","92592","14837"
"2022-07-11","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","16322","1299429","228472"
"2022-07-11","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","12196","462132","83721"
"2022-07-11","Taskila","Oulu","200000","havaittu, yli määritysrajan","b","37017","190491","29688"
"2022-07-11","Alheda","Pietarsaari","30500","havaittu, yli määritysrajan","","5308","193561","35729"
"2022-07-11","Luotsinmäki","Pori","112000","havaittu, yli määritysrajan","","22570","67210","10801"
"2022-07-11","Alakorkalo","Rovaniemi","55000","havaittu, yli määritysrajan","","7481","1069787","187645"
"2022-07-11","Seinäjoen keskuspuhdistamo","Seinäjoki","55000","havaittu, yli määritysrajan","","17439","697798","119787"
"2022-07-11","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","55208","764391","115721"
"2022-07-11","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","b","64151","324854","50128"
"2022-07-11","Pått","Vaasa","69500","havaittu, yli määritysrajan","","13365","503662","76286"
"2022-07-04","Suomenoja","Espoo","390000","havaittu, yli määritysrajan","a b","72366","285168","67777"
"2022-07-04","Viikinmäki","Helsinki","860000","havaittu, yli määritysrajan","a b","201210","228804","55321"
"2022-07-04","Paroinen","Hämeenlinna","66000","havaittu, yli määritysrajan","","13006","394624","60364"
"2022-07-04","Kuhasalo","Joensuu","98000","havaittu, yli määritysrajan","a","16125","427974","66127"
"2022-07-04","Nenäinniemi","Jyväskylä","154600","havaittu, yli määritysrajan","","29302","654740","102341"
"2022-07-04","Koko maa","Koko maa","","","","","333534","63042"
"2022-07-04","Mäkikylä","Kouvola","67107","havaittu, yli määritysrajan","b","15314","62334","4998"
"2022-07-04","Lehtoniemi","Kuopio","90697","havaittu, yli määritysrajan","","16022","811247","128262"
"2022-07-04","Toikansuo","Lappeenranta","63000","havaittu, yli määritysrajan","","11409","518039","80361"
"2022-07-04","Taskila","Oulu","200000","havaittu, yli määritysrajan","","44704","286358","43005"
"2022-07-04","Luotsinmäki","Pori","112000","havaittu, yli määritysrajan","a","21933","87871","21929"
"2022-07-04","Viinikanlahti","Tampere","200000","havaittu, yli määritysrajan","","58137","331140","53719"
"2022-07-04","Kakolanmäki","Turku","300000","havaittu, yli määritysrajan","","49376","436439","67507"
