"Näytteen päivämäärä","Puhdistamo","Puhdistamon sijainti","Puhdistamon asiakasmäärä","Sairaanhoitopiiri","Näytetyyppi","Koronavirustulos näytteestä","Epävarmuustekijät","Virtaama","Virtaamakorjattu RNA-lukumäärä"
"2021-06-14","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","94484",""
"2021-06-14","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","252888","12250"
"2021-06-14","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","42531",""
"2021-06-14","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","ei havaittu","b","20445",""
"2021-06-14","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","16236",""
"2021-06-14","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","tulos epävarma","b","36576",""
"2021-06-14","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","7867",""
"2021-06-14","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","ei havaittu","b","12919",""
"2021-06-14","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","ei havaittu","b","18940",""
"2021-06-14","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","69618",""
"2021-06-14","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","ei havaittu","b","74731",""
"2021-06-08","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","69187","32400"
"2021-06-07","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","93273","20719"
"2021-06-07","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","340734","12084"
"2021-06-07","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","36461",""
"2021-06-07","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","16826",""
"2021-06-07","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","45094",""
"2021-06-07","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","64622",""
"2021-05-31","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","109240","9608"
"2021-05-31","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","324409","9442"
"2021-05-31","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","20744","17890"
"2021-05-31","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","tulos epävarma","b","22939",""
"2021-05-31","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","41569",""
"2021-05-31","Peuraniemi","Kajaani","33714","Kainuun SHP","Tuleva jätevesi","ei havaittu","b","10970",""
"2021-05-31","Peurasaari","Kemi","23000","Länsi-Pohjan SHP","Tuleva jätevesi","ei havaittu","b","11313",""
"2021-05-31","Hopeakivenlahti","Kokkola","36000","Keski-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","9542","16460"
"2021-05-31","Mussalo","Kotka","99000","Kymenlaakson SHP","Tuleva jätevesi","ei havaittu","b","41989",""
"2021-05-31","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","37864",""
"2021-05-31","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","ei havaittu","","24461",""
"2021-05-31","Kariniemi","Lahti","63500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","19867",""
"2021-05-31","Ali-Juhakkala","Lahti","61500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","14729","5942"
"2021-05-31","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","ei havaittu","","24687",""
"2021-05-31","Lotsbroverket","Maarianhamina - Mariehamn","21000","Ahvenanmaa","Tuleva jätevesi","ei havaittu","","8523",""
"2021-05-31","Kenkäveronniemi","Mikkeli","42000","Etelä-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","10283",""
"2021-05-31","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","50080",""
"2021-05-31","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","10185",""
"2021-05-31","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","ei havaittu","","30830",""
"2021-05-31","Maanpäänniemi","Rauma","40000","Satakunnan SHP","Tuleva jätevesi","ei havaittu","b","11145",""
"2021-05-31","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","17193",""
"2021-05-31","Salonkeskuspuhdistamo","Salo","45000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","14180",""
"2021-05-31","Pihlajaniemi","Savonlinna","22571","Itä-Savon SHP","Tuleva jätevesi","ei havaittu","","12502",""
"2021-05-31","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","ei havaittu","b","18242",""
"2021-05-31","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","78020",""
"2021-05-31","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","tulos epävarma","","87639",""
"2021-05-31","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","18671",""
"2021-05-31","Nummela","Vihti","17500","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","3041",""
"2021-05-24","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","292171","27858"
"2021-05-24","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","25801",""
"2021-05-24","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","ei havaittu","","67394",""
"2021-05-24","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","ei havaittu","b","33630",""
"2021-05-24","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","93757","41300"
"2021-05-24","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","80096","28154"
"2021-05-17","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","90535","8327"
"2021-05-17","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","236978","8807"
"2021-05-17","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","18046","19561"
"2021-05-17","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","ei havaittu","b","22439",""
"2021-05-17","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","37380",""
"2021-05-17","Peuraniemi","Kajaani","33714","Kainuun SHP","Tuleva jätevesi","ei havaittu","a b","13570",""
"2021-05-17","Peurasaari","Kemi","23000","Länsi-Pohjan SHP","Tuleva jätevesi","ei havaittu","b","13040",""
"2021-05-17","Hopeakivenlahti","Kokkola","36000","Keski-Pohjanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","9515","22699"
"2021-05-17","Mussalo","Kotka","99000","Kymenlaakson SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","26986",""
"2021-05-17","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","21860",""
"2021-05-17","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","tulos epävarma","b","22288",""
"2021-05-17","Kariniemi","Lahti","63500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","a","17356","98060"
"2021-05-17","Ali-Juhakkala","Lahti","61500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","12794","117272"
"2021-05-17","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","14817",""
"2021-05-17","Lotsbroverket","Maarianhamina - Mariehamn","21000","Ahvenanmaa","Tuleva jätevesi","ei havaittu","b","6709",""
"2021-05-17","Kenkäveronniemi","Mikkeli","42000","Etelä-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","9773",""
"2021-05-17","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","52913",""
"2021-05-17","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","14053",""
"2021-05-17","Maanpäänniemi","Rauma","40000","Satakunnan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","10875",""
"2021-05-17","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","ei havaittu","a b","26016",""
"2021-05-17","Salonkeskuspuhdistamo","Salo","45000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","a b","11963",""
"2021-05-17","Pihlajaniemi","Savonlinna","22571","Itä-Savon SHP","Tuleva jätevesi","ei havaittu","b","8228",""
"2021-05-17","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","ei havaittu","b","16495",""
"2021-05-17","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","61124","7818"
"2021-05-17","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","71702",""
"2021-05-17","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","17504",""
"2021-05-10","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","274287","25148"
"2021-05-10","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","ei havaittu","b","24162",""
"2021-05-10","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","53567",""
"2021-05-10","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","64869",""
"2021-05-10","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","77313","13048"
"2021-05-03","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","98060","7440"
"2021-05-03","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","267759",""
"2021-05-03","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","18603","14722"
"2021-05-03","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","ei havaittu","b","25256",""
"2021-05-03","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","41045",""
"2021-05-03","Peuraniemi","Kajaani","33714","Kainuun SHP","Tuleva jätevesi","ei havaittu","b","13947",""
"2021-05-03","Peurasaari","Kemi","23000","Länsi-Pohjan SHP","Tuleva jätevesi","tulos epävarma","","14629",""
"2021-05-03","Hopeakivenlahti","Kokkola","36000","Keski-Pohjanmaan SHP","Tuleva jätevesi","ei havaittu","","10384",""
"2021-05-03","Mussalo","Kotka","99000","Kymenlaakson SHP","Tuleva jätevesi","tulos epävarma","b","30582",""
"2021-05-03","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","tulos epävarma","b","26572",""
"2021-05-03","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","ei havaittu","b","24988",""
"2021-05-03","Kariniemi","Lahti","63500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","18525","88567"
"2021-05-03","Ali-Juhakkala","Lahti","61500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","14585","12714"
"2021-05-03","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","tulos epävarma","b","16238",""
"2021-05-03","Lotsbroverket","Maarianhamina - Mariehamn","21000","Ahvenanmaa","Tuleva jätevesi","havaittu, alle määritysrajan","","4717",""
"2021-05-03","Kenkäveronniemi","Mikkeli","42000","Etelä-Savon SHP","Tuleva jätevesi","ei havaittu","","12434",""
"2021-05-03","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","55887",""
"2021-05-03","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","ei havaittu","b","10310",""
"2021-05-03","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","tulos epävarma","","27616",""
"2021-05-03","Maanpäänniemi","Rauma","40000","Satakunnan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","10455",""
"2021-05-03","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","ei havaittu","b","16337",""
"2021-05-03","Salonkeskuspuhdistamo","Salo","45000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","89000","267277"
"2021-05-03","Pihlajaniemi","Savonlinna","22571","Itä-Savon SHP","Tuleva jätevesi","tulos epävarma","","9461",""
"2021-05-03","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","tulos epävarma","b","15661",""
"2021-05-03","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","49369","6892"
"2021-05-03","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","66110","19172"
"2021-05-03","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","22359",""
"2021-05-03","Nummela","Vihti","17500","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","2939","459265"
"2021-04-26","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","321213","12057"
"2021-04-26","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","tulos epävarma","","30751",""
"2021-04-26","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","71619",""
"2021-04-26","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","56914","9391"
"2021-04-26","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","74287","8068"
"2021-04-19","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","107144","24061"
"2021-04-19","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","287549","15167"
"2021-04-19","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","22848","86407"
"2021-04-19","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","32321",""
"2021-04-19","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","56325",""
"2021-04-19","Peuraniemi","Kajaani","33714","Kainuun SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","17263",""
"2021-04-19","Peurasaari","Kemi","23000","Länsi-Pohjan SHP","Tuleva jätevesi","tulos epävarma","b","15260",""
"2021-04-19","Hopeakivenlahti","Kokkola","36000","Keski-Pohjanmaan SHP","Tuleva jätevesi","ei havaittu","a b","12197",""
"2021-04-19","Mussalo","Kotka","99000","Kymenlaakson SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","39786",""
"2021-04-19","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","tulos epävarma","b","35820",""
"2021-04-19","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","35145",""
"2021-04-19","Kariniemi","Lahti","63500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","a b","22010","33344"
"2021-04-19","Ali-Juhakkala","Lahti","61500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","16034","32011"
"2021-04-19","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","19635",""
"2021-04-19","Lotsbroverket","Maarianhamina - Mariehamn","21000","Ahvenanmaa","Tuleva jätevesi","havaittu, alle määritysrajan","","5035",""
"2021-04-19","Kenkäveronniemi","Mikkeli","42000","Etelä-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","16584",""
"2021-04-19","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","68485",""
"2021-04-19","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","ei havaittu","b","12197",""
"2021-04-19","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","tulos epävarma","a b","33862",""
"2021-04-19","Maanpäänniemi","Rauma","40000","Satakunnan SHP","Tuleva jätevesi","ei havaittu","b","12077",""
"2021-04-19","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","ei havaittu","b","22727",""
"2021-04-19","Salonkeskuspuhdistamo","Salo","45000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","111000","524315"
"2021-04-19","Pihlajaniemi","Savonlinna","22571","Itä-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","11694",""
"2021-04-19","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","21369",""
"2021-04-19","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","60617","38122"
"2021-04-19","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","79206","22017"
"2021-04-19","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","21928",""
"2021-04-19","Nummela","Vihti","17500","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","3204",""
"2021-04-12","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(b)","346487","17280"
"2021-04-12","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","(b)","34431",""
"2021-04-12","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","(b)","58037",""
"2021-04-12","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(b)","99197","12028"
"2021-04-12","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","(b)","110781","16702"
"2021-04-06","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","165101","11011"
"2021-04-06","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","458354","15909"
"2021-04-06","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","28067",""
"2021-04-06","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","26874",""
"2021-04-06","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","59771",""
"2021-04-06","Peuraniemi","Kajaani","33714","Kainuun SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","14383",""
"2021-04-06","Peurasaari","Kemi","23000","Länsi-Pohjan SHP","Tuleva jätevesi","ei havaittu","b","12180",""
"2021-04-06","Hopeakivenlahti","Kokkola","36000","Keski-Pohjanmaan SHP","Tuleva jätevesi","tulos epävarma","b","16307",""
"2021-04-06","Mussalo","Kotka","99000","Kymenlaakson SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","65042",""
"2021-04-06","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","14000",""
"2021-04-06","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","32748",""
"2021-04-06","Kariniemi","Lahti","63500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","31429","20926"
"2021-04-06","Ali-Juhakkala","Lahti","61500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","28476",""
"2021-04-06","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","22594",""
"2021-04-06","Lotsbroverket","Maarianhamina - Mariehamn","21000","Ahvenanmaa","Tuleva jätevesi","havaittu, alle määritysrajan","","5255",""
"2021-04-06","Kenkäveronniemi","Mikkeli","42000","Etelä-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","19638",""
"2021-04-06","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","68881",""
"2021-04-06","Alheda","Pietarsaari","30500","Vaasan SHP","Tuleva jätevesi","ei havaittu","b","17535",""
"2021-04-06","Luotsinmäki","Pori","112000","Satakunnan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","40198",""
"2021-04-06","Maanpäänniemi","Rauma","40000","Satakunnan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","14376",""
"2021-04-06","Alakorkalo","Rovaniemi","55000","Lapin SHP","Tuleva jätevesi","ei havaittu","b","16088",""
"2021-04-06","Salonkeskuspuhdistamo","Salo","45000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","22200",""
"2021-04-06","Pihlajaniemi","Savonlinna","22571","Itä-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","13515",""
"2021-04-06","Seinäjoenkeskuspuhdistamo","Seinäjoki","45000","Etelä-Pohjanmaan SHP","Tuleva jätevesi","ei havaittu","b","36725",""
"2021-04-06","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","78607",""
"2021-04-06","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","96039","13830"
"2021-04-06","Pått","Vaasa","69500","Vaasan SHP","Tuleva jätevesi","tulos epävarma","b","33140",""
"2021-04-06","Nummela","Vihti","17500","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","4404","28472"
"2021-03-29","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","400296","16729"
"2021-03-29","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","25393",""
"2021-03-29","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","46232",""
"2021-03-29","Viinikanlahti","Tampere","200000","Pirkanmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","64099","21947"
"2021-03-29","Kakolanmäki","Turku","300000","Varsinais-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","95911","24448"
"2021-03-22","Suomenoja","Espoo","390000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","103692","125630"
"2021-03-22","Viikinmäki","Helsinki","860000","Helsingin ja Uudenmaan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","270867","86564"
"2021-03-22","Paroinen","Hämeenlinna","66000","Kanta-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","15617","15177"
"2021-03-22","Kuhasalo","Joensuu","98000","Pohjois-Karjalan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","15014",""
"2021-03-22","Nenäinniemi","Jyväskylä","154600","Keski-Suomen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","33118","94907"
"2021-03-22","Peuraniemi","Kajaani","33714","Kainuun SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","6428","13405"
"2021-03-22","Peurasaari","Kemi","23000","Länsi-Pohjan SHP","Tuleva jätevesi","ei havaittu","b","4472",""
"2021-03-22","Hopeakivenlahti","Kokkola","36000","Keski-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","a b","8451",""
"2021-03-22","Mussalo","Kotka","99000","Kymenlaakson SHP","Tuleva jätevesi","havaittu, alle määritysrajan","","29327",""
"2021-03-22","Mäkikylä","Kouvola","67107","Kymenlaakson SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","22751",""
"2021-03-22","Lehtoniemi","Kuopio","90697","Pohjois-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","17519","13784"
"2021-03-22","Kariniemi","Lahti","63500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","","15503","216493"
"2021-03-22","Ali-Juhakkala","Lahti","61500","Päijät-Hämeen SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","12309","27872"
"2021-03-22","Toikansuo","Lappeenranta","63000","Etelä-Karjalan SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","13333","34116"
"2021-03-22","Lotsbroverket","Maarianhamina - Mariehamn","21000","Ahvenanmaa","Tuleva jätevesi","havaittu, alle määritysrajan","","6004",""
"2021-03-22","Kenkäveronniemi","Mikkeli","42000","Etelä-Savon SHP","Tuleva jätevesi","havaittu, yli määritysrajan","b","8988","53078"
"2021-03-22","Taskila","Oulu","200000","Pohjois-Pohjanmaan SHP","Tuleva jätevesi","havaittu, alle määritysrajan","b","41424",""
